2024-06-20	21:51:21	410bc6fc-6950-44e2-a4e5-3b42e5e36dd8	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:21	e4acdb64-db37-42c7-9aed-65ba53a18a98	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:23	3fc97530-f403-49aa-a152-cb545817c000	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:51:44	5534d8fc-d6a1-4a58-853c-a485a51b0e7d	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:51:44	e20d8e4e-3f40-42b3-af53-a23f9f0f2363	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:51:44	a99a3c29-ea50-4a63-9a06-c1705710b07f	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:44	42eb4767-61a5-40f1-9c92-417b1b1b4ad4	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:58	6d9d154a-b8bc-44d7-9b14-8d271ae01955	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:55:17	dc5d2552-a654-41ec-a189-1b530cee2879	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:55:17	7e3b11e3-66b9-4bd7-b318-8f1b25c62d33	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:55:18	3cd13497-9fcf-4688-953e-a99156e41289	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:55:18	1e54b6ec-8745-4c91-8b08-bbf14e2687b2	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:55:21	17453a5d-5f8e-4798-80cf-7e823187e89d	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:57:29	3e141397-044f-468f-ae66-a02c29e2463e	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:57:29	5add0988-2c67-4bbe-a36b-98a727186a9b	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:57:29	156af5a4-3e20-45ef-8a7a-e4c2ee05fc63	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:57:29	1cc4b341-2a09-4ac8-b82b-50bc8bbc0907	GET	/api/v1/lessons	http://localhost:3000
